 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 03, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Si- O

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.7244E+00 g/cm3 = 5.1850E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    033.33    046.74   
      O      8    066.67    053.26   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 600.00 MeV   3.678E-01  1.569E-04    5.27 mm   216.98 um    50.95 um  
 650.00 MeV   3.452E-01  1.459E-04    6.08 mm   245.98 um    58.58 um  
 700.00 MeV   3.257E-01  1.364E-04    6.95 mm   275.10 um    66.66 um  
 800.00 MeV   2.934E-01  1.207E-04    8.82 mm   382.97 um    84.11 um  
 900.00 MeV   2.679E-01  1.084E-04   10.89 mm   482.72 um   103.21 um  
   1.00 GeV   2.472E-01  9.848E-05   13.14 mm   579.29 um   123.88 um  
   1.10 GeV   2.300E-01  9.026E-05   15.58 mm   674.63 um   146.05 um  
   1.20 GeV   2.155E-01  8.335E-05   18.18 mm   769.62 um   169.66 um  
   1.30 GeV   2.032E-01  7.746E-05   20.95 mm   864.71 um   194.63 um  
   1.40 GeV   1.925E-01  7.238E-05   23.88 mm   960.15 um   220.91 um  
   1.50 GeV   1.831E-01  6.794E-05   26.97 mm     1.06 mm   248.44 um  
   1.60 GeV   1.749E-01  6.404E-05   30.21 mm     1.15 mm   277.17 um  
   1.70 GeV   1.676E-01  6.057E-05   33.60 mm     1.25 mm   307.05 um  
   1.80 GeV   1.611E-01  5.748E-05   37.13 mm     1.35 mm   338.03 um  
   2.00 GeV   1.499E-01  5.218E-05   44.59 mm     1.71 mm   403.14 um  
   2.25 GeV   1.386E-01  4.682E-05   54.65 mm     2.23 mm   489.97 um  
   2.50 GeV   1.295E-01  4.250E-05   65.47 mm     2.71 mm   582.30 um  
   2.75 GeV   1.220E-01  3.893E-05   77.00 mm     3.17 mm   679.59 um  
   3.00 GeV   1.158E-01  3.593E-05   89.20 mm     3.61 mm   781.37 um  
   3.25 GeV   1.104E-01  3.337E-05  102.02 mm     4.04 mm   887.21 um  
   3.50 GeV   1.059E-01  3.117E-05  115.42 mm     4.47 mm   996.73 um  
   3.75 GeV   1.019E-01  2.925E-05  129.38 mm     4.89 mm     1.11 mm  
   4.00 GeV   9.846E-02  2.756E-05  143.85 mm     5.30 mm     1.23 mm  
   4.50 GeV   9.269E-02  2.472E-05  174.20 mm     6.83 mm     1.47 mm  
   5.00 GeV   8.810E-02  2.242E-05  206.29 mm     8.21 mm     1.71 mm  
   5.50 GeV   8.437E-02  2.053E-05  239.92 mm     9.50 mm     1.97 mm  
   6.00 GeV   8.129E-02  1.894E-05  274.93 mm    10.72 mm     2.23 mm  
   6.50 GeV   7.871E-02  1.759E-05  311.17 mm    11.89 mm     2.50 mm  
   7.00 GeV   7.653E-02  1.642E-05  348.53 mm    13.02 mm     2.77 mm  
   8.00 GeV   7.306E-02  1.451E-05  426.09 mm    17.04 mm     3.31 mm  
   9.00 GeV   7.044E-02  1.301E-05  506.92 mm    20.53 mm     3.86 mm  
  10.00 GeV   6.843E-02  1.180E-05  590.44 mm    23.70 mm     4.42 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.7243E+01                 eV / Angstrom 
  1.7243E+02                keV / micron   
  1.7243E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  3.3256E+01                 eV / (1E15 atoms/cm2)
  4.9274E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
