 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> June 13, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Proton_Boron.dat

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  2.3502E+00 g/cm3 = 1.3091E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   9.793E-02  5.038E-05   76.74 um     3.17 um     2.16 um  
   3.25 MeV   9.220E-02  4.692E-05   87.92 um     3.57 um     2.45 um  
   3.50 MeV   8.716E-02  4.393E-05   99.76 um     3.98 um     2.76 um  
   3.75 MeV   8.269E-02  4.131E-05  112.27 um     4.39 um     3.09 um  
   4.00 MeV   7.869E-02  3.900E-05  125.44 um     4.80 um     3.43 um  
   4.50 MeV   7.183E-02  3.511E-05  153.69 um     6.32 um     4.16 um  
   5.00 MeV   6.616E-02  3.195E-05  184.51 um     7.75 um     4.94 um  
   5.50 MeV   6.138E-02  2.934E-05  217.85 um     9.14 um     5.79 um  
   6.00 MeV   5.730E-02  2.714E-05  253.67 um    10.53 um     6.69 um  
   6.50 MeV   5.377E-02  2.526E-05  291.95 um    11.93 um     7.65 um  
   7.00 MeV   5.069E-02  2.364E-05  332.64 um    13.34 um     8.67 um  
   8.00 MeV   4.555E-02  2.096E-05  421.08 um    18.46 um    10.88 um  
   9.00 MeV   4.143E-02  1.886E-05  518.92 um    23.25 um    13.30 um  
  10.00 MeV   3.805E-02  1.715E-05  625.96 um    27.94 um    15.93 um  
  11.00 MeV   3.522E-02  1.574E-05  742.04 um    32.62 um    18.77 um  
  12.00 MeV   3.282E-02  1.455E-05  867.03 um    37.33 um    21.82 um  
  13.00 MeV   3.075E-02  1.353E-05    1.00 mm    42.11 um    25.06 um  
  14.00 MeV   2.895E-02  1.265E-05    1.14 mm    46.95 um    28.51 um  
  15.00 MeV   2.737E-02  1.189E-05    1.29 mm    51.87 um    32.15 um  
  16.00 MeV   2.597E-02  1.121E-05    1.45 mm    56.87 um    35.98 um  
  17.00 MeV   2.472E-02  1.061E-05    1.62 mm    61.96 um    40.00 um  
  18.00 MeV   2.359E-02  1.008E-05    1.80 mm    67.14 um    44.20 um  
  20.00 MeV   2.165E-02  9.158E-06    2.17 mm    86.33 um    53.17 um  
  22.50 MeV   1.967E-02  8.229E-06    2.69 mm   113.79 um    65.38 um  
  25.00 MeV   1.805E-02  7.477E-06    3.25 mm   139.85 um    78.69 um  
  27.50 MeV   1.670E-02  6.856E-06    3.86 mm   165.42 um    93.07 um  
  30.00 MeV   1.556E-02  6.333E-06    4.52 mm   190.92 um   108.48 um  
  32.50 MeV   1.459E-02  5.887E-06    5.23 mm   216.53 um   124.91 um  
  35.00 MeV   1.374E-02  5.503E-06    5.98 mm   242.37 um   142.34 um  
  37.50 MeV   1.299E-02  5.167E-06    6.77 mm   268.51 um   160.73 um  
  40.00 MeV   1.234E-02  4.871E-06    7.61 mm   294.98 um   180.08 um  
  45.00 MeV   1.122E-02  4.374E-06    9.42 mm   392.82 um   221.57 um  
  50.00 MeV   1.032E-02  3.972E-06   11.39 mm   484.74 um   266.67 um  
  55.00 MeV   9.568E-03  3.640E-06   13.53 mm   574.34 um   315.24 um  
  60.00 MeV   8.934E-03  3.361E-06   15.83 mm   663.16 um   367.18 um  
  65.00 MeV   8.391E-03  3.123E-06   18.29 mm   751.97 um   422.37 um  
  70.00 MeV   7.921E-03  2.918E-06   20.89 mm   841.19 um   480.71 um  
  80.00 MeV   7.146E-03  2.581E-06   26.54 mm     1.17 mm   606.47 um  
  90.00 MeV   6.534E-03  2.317E-06   32.77 mm     1.47 mm   743.78 um  
 100.00 MeV   6.037E-03  2.103E-06   39.53 mm     1.76 mm   891.97 um  
 110.00 MeV   5.626E-03  1.926E-06   46.83 mm     2.05 mm     1.05 mm  
 120.00 MeV   5.280E-03  1.778E-06   54.63 mm     2.34 mm     1.22 mm  
 130.00 MeV   4.984E-03  1.651E-06   62.92 mm     2.62 mm     1.40 mm  
 140.00 MeV   4.729E-03  1.542E-06   71.67 mm     2.91 mm     1.58 mm  
 150.00 MeV   4.506E-03  1.447E-06   80.88 mm     3.20 mm     1.78 mm  
 160.00 MeV   4.310E-03  1.364E-06   90.53 mm     3.49 mm     1.98 mm  
 170.00 MeV   4.136E-03  1.289E-06  100.59 mm     3.78 mm     2.19 mm  
 180.00 MeV   3.981E-03  1.223E-06  111.07 mm     4.08 mm     2.41 mm  
 200.00 MeV   3.715E-03  1.110E-06  133.18 mm     5.16 mm     2.86 mm  
 225.00 MeV   3.447E-03  9.951E-07  162.89 mm     6.68 mm     3.47 mm  
 250.00 MeV   3.231E-03  9.027E-07  194.74 mm     8.09 mm     4.10 mm  
 275.00 MeV   3.054E-03  8.264E-07  228.58 mm     9.43 mm     4.77 mm  
 300.00 MeV   2.906E-03  7.624E-07  264.27 mm    10.73 mm     5.47 mm  
 325.00 MeV   2.780E-03  7.079E-07  301.66 mm    12.00 mm     6.19 mm  
