 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 03, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Phosphorus

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.8219E+00 g/cm3 = 3.5422E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      P     15    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  35.00 MeV   2.830E+00  1.818E-03   50.98 um     1.74 um     1.03 um  
  37.50 MeV   2.714E+00  1.711E-03   55.93 um     1.88 um     1.10 um  
  40.00 MeV   2.607E+00  1.617E-03   61.08 um     2.03 um     1.17 um  
  45.00 MeV   2.415E+00  1.459E-03   72.01 um     2.57 um     1.31 um  
  50.00 MeV   2.249E+00  1.330E-03   83.78 um     3.08 um     1.46 um  
  55.00 MeV   2.104E+00  1.223E-03   96.38 um     3.57 um     1.62 um  
  60.00 MeV   1.976E+00  1.132E-03  109.83 um     4.06 um     1.79 um  
  65.00 MeV   1.864E+00  1.055E-03  124.13 um     4.56 um     1.97 um  
  70.00 MeV   1.763E+00  9.883E-04  139.26 um     5.05 um     2.16 um  
  80.00 MeV   1.592E+00  8.781E-04  172.00 um     6.89 um     2.57 um  
  90.00 MeV   1.453E+00  7.910E-04  208.06 um     8.61 um     3.03 um  
 100.00 MeV   1.338E+00  7.204E-04  247.41 um    10.29 um     3.52 um  
 110.00 MeV   1.240E+00  6.618E-04  290.01 um    11.96 um     4.05 um  
 120.00 MeV   1.158E+00  6.125E-04  335.79 um    13.65 um     4.61 um  
 130.00 MeV   1.086E+00  5.703E-04  384.72 um    15.35 um     5.22 um  
 140.00 MeV   1.024E+00  5.338E-04  436.75 um    17.07 um     5.86 um  
 150.00 MeV   9.692E-01  5.019E-04  491.82 um    18.82 um     6.54 um  
 160.00 MeV   9.208E-01  4.738E-04  549.89 um    20.59 um     7.25 um  
 170.00 MeV   8.778E-01  4.487E-04  610.91 um    22.39 um     8.00 um  
 180.00 MeV   8.392E-01  4.264E-04  674.83 um    24.21 um     8.78 um  
 200.00 MeV   7.729E-01  3.879E-04  811.10 um    31.07 um    10.45 um  
 225.00 MeV   7.059E-01  3.490E-04  996.82 um    40.83 um    12.71 um  
 250.00 MeV   6.520E-01  3.175E-04    1.20 mm    50.01 um    15.15 um  
 275.00 MeV   6.080E-01  2.914E-04    1.42 mm    58.91 um    17.78 um  
 300.00 MeV   5.716E-01  2.694E-04    1.65 mm    67.65 um    20.56 um  
 325.00 MeV   5.415E-01  2.507E-04    1.90 mm    76.30 um    23.50 um  
 350.00 MeV   5.165E-01  2.345E-04    2.16 mm    84.85 um    26.58 um  
 375.00 MeV   4.915E-01  2.203E-04    2.43 mm    93.39 um    29.78 um  
 400.00 MeV   4.669E-01  2.078E-04    2.71 mm   102.01 um    33.14 um  
 450.00 MeV   4.253E-01  1.868E-04    3.33 mm   134.55 um    40.30 um  
 500.00 MeV   3.912E-01  1.698E-04    4.00 mm   165.23 um    48.05 um  
 550.00 MeV   3.629E-01  1.558E-04    4.73 mm   195.17 um    56.38 um  
 600.00 MeV   3.389E-01  1.439E-04    5.51 mm   224.85 um    65.27 um  
 650.00 MeV   3.183E-01  1.339E-04    6.35 mm   254.53 um    74.72 um  
 700.00 MeV   3.005E-01  1.251E-04    7.24 mm   284.35 um    84.71 um  
