 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Silver

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  1.0473E+01 g/cm3 = 5.8467E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   1.10 GeV   7.115E-02  2.824E-05    8.49 mm   367.67 um   187.93 um  
   1.20 GeV   6.686E-02  2.609E-05    9.87 mm   418.41 um   217.07 um  
   1.30 GeV   6.318E-02  2.426E-05   11.34 mm   469.16 um   247.78 um  
   1.40 GeV   5.999E-02  2.268E-05   12.89 mm   520.04 um   279.97 um  
   1.50 GeV   5.719E-02  2.130E-05   14.51 mm   571.13 um   313.57 um  
   1.60 GeV   5.472E-02  2.009E-05   16.22 mm   622.47 um   348.54 um  
   1.70 GeV   5.252E-02  1.901E-05   18.00 mm   674.06 um   384.79 um  
   1.80 GeV   5.055E-02  1.804E-05   19.85 mm   725.91 um   422.29 um  
   2.00 GeV   4.717E-02  1.639E-05   23.76 mm   917.49 um   500.82 um  
   2.25 GeV   4.374E-02  1.472E-05   29.01 mm     1.19 mm   605.07 um  
   2.50 GeV   4.096E-02  1.337E-05   34.65 mm     1.44 mm   715.45 um  
   2.75 GeV   3.867E-02  1.225E-05   40.64 mm     1.67 mm   831.33 um  
   3.00 GeV   3.675E-02  1.132E-05   46.96 mm     1.91 mm   952.16 um  
   3.25 GeV   3.512E-02  1.052E-05   53.60 mm     2.13 mm     1.08 mm  
   3.50 GeV   3.371E-02  9.826E-06   60.54 mm     2.35 mm     1.21 mm  
   3.75 GeV   3.249E-02  9.224E-06   67.74 mm     2.57 mm     1.34 mm  
   4.00 GeV   3.142E-02  8.694E-06   75.21 mm     2.79 mm     1.48 mm  
   4.50 GeV   2.964E-02  7.803E-06   90.84 mm     3.57 mm     1.76 mm  
   5.00 GeV   2.821E-02  7.083E-06  107.34 mm     4.28 mm     2.05 mm  
   5.50 GeV   2.706E-02  6.489E-06  124.61 mm     4.95 mm     2.35 mm  
   6.00 GeV   2.610E-02  5.990E-06  142.57 mm     5.57 mm     2.65 mm  
   6.50 GeV   2.530E-02  5.565E-06  161.13 mm     6.18 mm     2.96 mm  
   7.00 GeV   2.462E-02  5.197E-06  180.25 mm     6.76 mm     3.27 mm  
   8.00 GeV   2.354E-02  4.596E-06  219.89 mm     8.81 mm     3.90 mm  
   9.00 GeV   2.273E-02  4.123E-06  261.15 mm    10.59 mm     4.54 mm  
  10.00 GeV   2.211E-02  3.741E-06  303.72 mm    12.21 mm     5.17 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0473E+02                 eV / Angstrom 
  1.0473E+03                keV / micron   
  1.0473E+03                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.7912E+02                 eV / (1E15 atoms/cm2)
  4.4256E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
