 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Phosphorus

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  1.8219E+00 g/cm3 = 3.5422E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      P     15    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  20.00 MeV   1.927E+00  1.396E-03   45.57 um     1.53 um     1.08 um  
  22.50 MeV   1.822E+00  1.260E-03   52.88 um     1.86 um     1.18 um  
  25.00 MeV   1.726E+00  1.149E-03   60.62 um     2.17 um     1.28 um  
  27.50 MeV   1.627E+00  1.057E-03   68.80 um     2.47 um     1.39 um  
  30.00 MeV   1.532E+00  9.793E-04   77.48 um     2.77 um     1.51 um  
  32.50 MeV   1.454E+00  9.128E-04   86.67 um     3.08 um     1.62 um  
  35.00 MeV   1.383E+00  8.551E-04   96.33 um     3.38 um     1.75 um  
  37.50 MeV   1.319E+00  8.047E-04  106.49 um     3.69 um     1.88 um  
  40.00 MeV   1.259E+00  7.602E-04  117.13 um     4.00 um     2.02 um  
  45.00 MeV   1.155E+00  6.851E-04  139.87 um     5.16 um     2.31 um  
  50.00 MeV   1.066E+00  6.241E-04  164.58 um     6.27 um     2.63 um  
  55.00 MeV   9.901E-01  5.735E-04  191.27 um     7.35 um     2.97 um  
  60.00 MeV   9.237E-01  5.309E-04  219.95 um     8.42 um     3.34 um  
  65.00 MeV   8.656E-01  4.945E-04  250.63 um     9.51 um     3.73 um  
  70.00 MeV   8.144E-01  4.629E-04  283.30 um    10.61 um     4.14 um  
  80.00 MeV   7.284E-01  4.110E-04  354.53 um    14.70 um     5.05 um  
  90.00 MeV   6.594E-01  3.700E-04  433.70 um    18.55 um     6.05 um  
 100.00 MeV   6.029E-01  3.368E-04  520.71 um    22.34 um     7.15 um  
 110.00 MeV   5.561E-01  3.093E-04  615.47 um    26.14 um     8.35 um  
 120.00 MeV   5.166E-01  2.861E-04  717.83 um    29.98 um     9.65 um  
 130.00 MeV   4.831E-01  2.663E-04  827.65 um    33.86 um    11.03 um  
 140.00 MeV   4.542E-01  2.491E-04  944.78 um    37.81 um    12.51 um  
 150.00 MeV   4.291E-01  2.342E-04    1.07 mm    41.81 um    14.08 um  
 160.00 MeV   4.072E-01  2.210E-04    1.20 mm    45.87 um    15.73 um  
 170.00 MeV   3.878E-01  2.092E-04    1.34 mm    49.99 um    17.46 um  
 180.00 MeV   3.707E-01  1.987E-04    1.48 mm    54.16 um    19.28 um  
 200.00 MeV   3.415E-01  1.807E-04    1.79 mm    69.81 um    23.15 um  
 225.00 MeV   3.124E-01  1.625E-04    2.21 mm    92.00 um    28.40 um  
 250.00 MeV   2.891E-01  1.478E-04    2.67 mm   112.74 um    34.08 um  
 275.00 MeV   2.699E-01  1.356E-04    3.16 mm   132.78 um    40.15 um  
 300.00 MeV   2.538E-01  1.253E-04    3.68 mm   152.46 um    46.60 um  
 325.00 MeV   2.401E-01  1.165E-04    4.24 mm   171.94 um    53.40 um  
 350.00 MeV   2.281E-01  1.090E-04    4.82 mm   191.33 um    60.53 um  
 375.00 MeV   2.165E-01  1.024E-04    5.44 mm   210.77 um    67.98 um  
