 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Si- O

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  1.7244E+00 g/cm3 = 5.1850E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    033.33    046.74   
      O      8    066.67    053.26   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 700.00 MeV   1.433E-01  6.316E-05   15.71 mm   624.56 um   154.33 um  
 800.00 MeV   1.291E-01  5.589E-05   19.98 mm   869.97 um   195.07 um  
 900.00 MeV   1.178E-01  5.018E-05   24.68 mm     1.10 mm   239.66 um  
   1.00 GeV   1.087E-01  4.556E-05   29.80 mm     1.32 mm   287.92 um  
   1.10 GeV   1.011E-01  4.174E-05   35.33 mm     1.53 mm   339.68 um  
   1.20 GeV   9.478E-02  3.854E-05   41.25 mm     1.75 mm   394.78 um  
   1.30 GeV   8.934E-02  3.580E-05   47.55 mm     1.97 mm   453.06 um  
   1.40 GeV   8.463E-02  3.345E-05   54.22 mm     2.18 mm   514.39 um  
   1.50 GeV   8.052E-02  3.139E-05   61.24 mm     2.40 mm   578.64 um  
   1.60 GeV   7.690E-02  2.958E-05   68.61 mm     2.62 mm   645.68 um  
   1.70 GeV   7.369E-02  2.798E-05   76.31 mm     2.84 mm   715.40 um  
   1.80 GeV   7.081E-02  2.654E-05   84.34 mm     3.06 mm   787.67 um  
   2.00 GeV   6.590E-02  2.409E-05  101.32 mm     3.90 mm   939.57 um  
   2.25 GeV   6.093E-02  2.161E-05  124.20 mm     5.07 mm     1.14 mm  
