 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 03, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Hydrogen

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  2.0100E-01 g/cm3 = 6.0100E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  32.50 MeV   6.092E+00  2.399E-03  178.01 um     6.11 um     8012 A   
  35.00 MeV   5.679E+00  2.246E-03  199.16 um     6.80 um     8485 A   
  37.50 MeV   5.323E+00  2.112E-03  221.78 um     7.52 um     9003 A   
  40.00 MeV   5.015E+00  1.993E-03  245.85 um     8.26 um     9567 A   
  45.00 MeV   4.509E+00  1.794E-03  298.17 um    11.09 um     1.08 um  
  50.00 MeV   4.113E+00  1.632E-03  355.94 um    13.78 um     1.23 um  
  55.00 MeV   3.794E+00  1.498E-03  418.92 um    16.41 um     1.39 um  
  60.00 MeV   3.531E+00  1.386E-03  486.89 um    19.02 um     1.57 um  
  65.00 MeV   3.311E+00  1.289E-03  559.64 um    21.63 um     1.76 um  
  70.00 MeV   3.122E+00  1.206E-03  637.02 um    24.24 um     1.96 um  
  80.00 MeV   2.812E+00  1.069E-03  804.97 um    33.95 um     2.42 um  
  90.00 MeV   2.564E+00  9.616E-04  990.31 um    42.90 um     2.92 um  
 100.00 MeV   2.357E+00  8.743E-04    1.19 mm    51.59 um     3.47 um  
 110.00 MeV   2.179E+00  8.021E-04    1.41 mm    60.22 um     4.06 um  
 120.00 MeV   2.023E+00  7.413E-04    1.65 mm    68.93 um     4.70 um  
 130.00 MeV   1.885E+00  6.895E-04    1.90 mm    77.79 um     5.39 um  
 140.00 MeV   1.760E+00  6.447E-04    2.18 mm    86.87 um     6.13 um  
 150.00 MeV   1.648E+00  6.055E-04    2.47 mm    96.21 um     6.91 um  
 160.00 MeV   1.545E+00  5.711E-04    2.78 mm   105.84 um     7.75 um  
 170.00 MeV   1.452E+00  5.405E-04    3.11 mm   115.81 um     8.65 um  
 180.00 MeV   1.368E+00  5.131E-04    3.47 mm   126.12 um     9.60 um  
 200.00 MeV   1.220E+00  4.662E-04    4.24 mm   166.73 um    11.68 um  
 225.00 MeV   1.070E+00  4.188E-04    5.33 mm   227.05 um    14.64 um  
 250.00 MeV   9.536E-01  3.805E-04    6.56 mm   286.22 um    18.00 um  
 275.00 MeV   8.645E-01  3.488E-04    7.93 mm   345.72 um    21.78 um  
 300.00 MeV   7.990E-01  3.222E-04    9.42 mm   405.44 um    25.93 um  
 325.00 MeV   7.537E-01  2.994E-04   11.03 mm   464.56 um    30.40 um  
 350.00 MeV   7.260E-01  2.798E-04   12.71 mm   521.92 um    35.10 um  
 375.00 MeV   6.949E-01  2.627E-04   14.46 mm   577.74 um    40.00 um  
 400.00 MeV   6.581E-01  2.476E-04   16.30 mm   633.66 um    45.12 um  
 450.00 MeV   5.960E-01  2.223E-04   20.27 mm   847.09 um    56.13 um  
 500.00 MeV   5.458E-01  2.019E-04   24.63 mm     1.05 mm    68.16 um  
 550.00 MeV   5.041E-01  1.850E-04   29.38 mm     1.24 mm    81.17 um  
 600.00 MeV   4.691E-01  1.708E-04   34.49 mm     1.44 mm    95.14 um  
 650.00 MeV   4.392E-01  1.587E-04   39.97 mm     1.64 mm   110.05 um  
 700.00 MeV   4.134E-01  1.482E-04   45.81 mm     1.83 mm   125.89 um  
 800.00 MeV   3.710E-01  1.311E-04   58.52 mm     2.57 mm   160.22 um  
 900.00 MeV   3.375E-01  1.176E-04   72.58 mm     3.25 mm   197.97 um  
   1.00 GeV   3.105E-01  1.067E-04   87.95 mm     3.91 mm   238.99 um  
   1.10 GeV   2.882E-01  9.775E-05  104.58 mm     4.56 mm   283.13 um  
   1.20 GeV   2.695E-01  9.022E-05  122.43 mm     5.22 mm   330.26 um  
   1.30 GeV   2.535E-01  8.379E-05  141.47 mm     5.87 mm   380.25 um  
   1.40 GeV   2.397E-01  7.825E-05  161.65 mm     6.53 mm   432.97 um  
   1.50 GeV   2.277E-01  7.342E-05  182.95 mm     7.19 mm   488.32 um  
   1.60 GeV   2.172E-01  6.917E-05  205.32 mm     7.86 mm   546.19 um  
   1.70 GeV   2.078E-01  6.540E-05  228.74 mm     8.53 mm   606.47 um  
   1.80 GeV   1.995E-01  6.203E-05  253.18 mm     9.20 mm   669.06 um  
   2.00 GeV   1.852E-01  5.627E-05  304.96 mm    11.76 mm   800.90 um  
   2.25 GeV   1.708E-01  5.045E-05  374.90 mm    15.37 mm   977.19 um  
   2.50 GeV   1.593E-01  4.576E-05  450.32 mm    18.71 mm     1.17 mm  
   2.75 GeV   1.498E-01  4.189E-05  530.85 mm    21.91 mm     1.36 mm  
   3.00 GeV   1.419E-01  3.864E-05  616.19 mm    25.01 mm     1.57 mm  
   3.25 GeV   1.351E-01  3.588E-05  706.02 mm    28.06 mm     1.79 mm  
   3.50 GeV   1.294E-01  3.349E-05  800.08 mm    31.05 mm     2.01 mm  
   3.75 GeV   1.244E-01  3.141E-05  898.13 mm    34.01 mm     2.24 mm  
   4.00 GeV   1.200E-01  2.958E-05  999.92 mm    36.93 mm     2.48 mm  
   4.50 GeV   1.128E-01  2.652E-05    1.21 m     47.74 mm     2.98 mm  
   5.00 GeV   1.070E-01  2.404E-05    1.44 m     57.50 mm     3.49 mm  
   5.50 GeV   1.023E-01  2.200E-05    1.68 m     66.61 mm     4.02 mm  
   6.00 GeV   9.843E-02  2.029E-05    1.93 m     75.28 mm     4.56 mm  
   6.50 GeV   9.518E-02  1.883E-05    2.18 m     83.60 mm     5.11 mm  
   7.00 GeV   9.243E-02  1.757E-05    2.45 m     91.63 mm     5.67 mm  
   8.00 GeV   8.805E-02  1.552E-05    3.00 m    120.35 mm     6.80 mm  
   9.00 GeV   8.475E-02  1.390E-05    3.58 m    145.33 mm     7.95 mm  
  10.00 GeV   8.220E-02  1.260E-05    4.17 m    168.02 mm     9.10 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.0099E+00                 eV / Angstrom 
  2.0099E+01                keV / micron   
  2.0099E+01                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  3.3443E+00                 eV / (1E15 atoms/cm2)
  1.5955E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
