 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 03, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Silver

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.0473E+01 g/cm3 = 5.8467E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 400.00 MeV   3.422E-01  1.509E-04  650.78 um    24.60 um    15.34 um  
 450.00 MeV   3.133E-01  1.358E-04  796.44 um    32.36 um    18.55 um  
 500.00 MeV   2.895E-01  1.236E-04  954.82 um    39.64 um    22.02 um  
 550.00 MeV   2.695E-01  1.135E-04    1.13 mm    46.71 um    25.73 um  
 600.00 MeV   2.526E-01  1.049E-04    1.31 mm    53.71 um    29.67 um  
 650.00 MeV   2.379E-01  9.767E-05    1.50 mm    60.69 um    33.85 um  
 700.00 MeV   2.252E-01  9.138E-05    1.71 mm    67.68 um    38.25 um  
 800.00 MeV   2.040E-01  8.104E-05    2.15 mm    93.09 um    47.69 um  
 900.00 MeV   1.871E-01  7.288E-05    2.64 mm   116.60 um    57.95 um  
   1.00 GeV   1.733E-01  6.627E-05    3.17 mm   139.34 um    68.98 um  
   1.10 GeV   1.618E-01  6.081E-05    3.74 mm   161.75 um    80.75 um  
   1.20 GeV   1.520E-01  5.621E-05    4.35 mm   184.06 um    93.23 um  
   1.30 GeV   1.437E-01  5.228E-05    5.00 mm   206.36 um   106.37 um  
   1.40 GeV   1.364E-01  4.889E-05    5.68 mm   228.72 um   120.15 um  
   1.50 GeV   1.301E-01  4.593E-05    6.39 mm   251.17 um   134.53 um  
   1.60 GeV   1.245E-01  4.332E-05    7.14 mm   273.73 um   149.50 um  
   1.70 GeV   1.195E-01  4.100E-05    7.93 mm   296.40 um   165.02 um  
   1.80 GeV   1.150E-01  3.893E-05    8.74 mm   319.18 um   181.08 um  
   2.00 GeV   1.073E-01  3.538E-05   10.46 mm   403.38 um   214.71 um  
   2.25 GeV   9.950E-02  3.178E-05   12.77 mm   521.67 um   259.36 um  
   2.50 GeV   9.319E-02  2.888E-05   15.24 mm   631.17 um   306.64 um  
   2.75 GeV   8.799E-02  2.648E-05   17.88 mm   735.82 um   356.29 um  
   3.00 GeV   8.362E-02  2.446E-05   20.66 mm   837.36 um   408.07 um  
   3.25 GeV   7.990E-02  2.273E-05   23.58 mm   936.72 um   461.76 um  
   3.50 GeV   7.671E-02  2.125E-05   26.62 mm     1.03 mm   517.19 um  
   3.75 GeV   7.393E-02  1.995E-05   29.79 mm     1.13 mm   574.17 um  
   4.00 GeV   7.150E-02  1.881E-05   33.07 mm     1.23 mm   632.55 um  
   4.50 GeV   6.744E-02  1.689E-05   39.94 mm     1.57 mm   753.00 um  
   5.00 GeV   6.421E-02  1.533E-05   47.19 mm     1.88 mm   877.53 um  
   5.50 GeV   6.158E-02  1.405E-05   54.78 mm     2.17 mm     1.01 mm  
   6.00 GeV   5.940E-02  1.297E-05   62.67 mm     2.45 mm     1.14 mm  
   6.50 GeV   5.758E-02  1.206E-05   70.83 mm     2.71 mm     1.27 mm  
   7.00 GeV   5.604E-02  1.126E-05   79.23 mm     2.97 mm     1.40 mm  
   8.00 GeV   5.359E-02  9.963E-06   96.65 mm     3.87 mm     1.67 mm  
   9.00 GeV   5.175E-02  8.940E-06  114.77 mm     4.65 mm     1.95 mm  
  10.00 GeV   5.033E-02  8.114E-06  133.47 mm     5.36 mm     2.22 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0473E+02                 eV / Angstrom 
  1.0473E+03                keV / micron   
  1.0473E+03                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.7912E+02                 eV / (1E15 atoms/cm2)
  3.0298E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
